"island","presence","sex","svl","Mass"
"crescent",0,"m",59.56,3.6
"crescent",0,"f",51.16,2.6
"crescent",0,"m",58.94,3.9
"channel",1,"m",58.85,3.6
"channel",1,"m",60.24,3.9
"channel",1,"m",54.1,2.8
"channel",1,"f",43.53,1.4
"channel",1,"m",57.94,3.1
"channel",1,"f",44.26,1.4
"channel",1,"m",52.15,2.6
"yin",1,"m",59.62,4.1
"lizard",1,"m",59.66,3.5
"lizard",1,"m",56.72,3.4
"lizard",1,"m",58.53,3.4
"lizard",1,"m",59.04,3.7
"lizard",1,"m",58.02,2.9
"lizard",1,"f",48.22,2.1
"lizard",1,"m",52.47,2.4
"lizard",1,"f",46.9,1.7
"lizard",1,"f",46.69,1.7
"lizard",1,"m",58.8,3.6
"lizard",1,"f",44.05,1.6
"hook",1,"m",56.65,3.1
"hook",1,"f",46.72,1.9
"hook",1,"m",56.24,3.4
"hook",1,"m",56.41,2.9
"hook",1,"m",57.25,3.4
"hook",1,"f",47.46,1.6
"hook",1,"m",57.96,3.3
"hook",1,"m",54.84,2.6
"yang",1,"m",55.31,3.2
"yang",1,"m",58.23,3.3
"yang",1,"m",54.86,3.4
"yang",1,"f",48.48,1.8
"yang",1,"m",57.56,3.4
"yang",1,"m",57.37,3.3
"yang",1,"f",48.42,2.1
"yang",1,"f",49.25,2.1
"yang",1,"m",59.04,3.6
"yang",1,"m",54.23,2.6
"pine",0,"f",48.43,2.2
"pine",0,"m",52.9,2.6
"pine",0,"f",48.27,2.1
"pine",0,"f",35.7,1.8
"pine",0,"m",59.76,3.4
"pine",0,"m",58.89,3.4
"pine",0,"m",56.39,3
"pine",0,"m",55.16,2.7
"pine",0,"f",46.6,2.1
"channel",1,"m",59.66,3.7
"channel",1,"m",60.15,4.1
"channel",1,"m",57.97,3.8
"channel",1,"m",46.34,1.7
"channel",1,"f",49.92,2.7
"channel",1,"m",57.16,3.1
"channel",1,"m",55.74,2.9
"channel",1,"m",60.78,3.7
"osprey",0,"m",55.19,3.1
"osprey",0,"m",54.22,2.6
"osprey",0,"m",59.08,3.3
"osprey",0,"m",59.18,3.4
"osprey",0,"m",55.36,2.6
"osprey",0,"m",53.08,2.7
"pine",0,"m",55.52,3.1
"pine",0,"m",58.59,3.6
"pine",0,"f",47.85,2.4
"pine",0,"f",44.8,1.8
"pine",0,"m",57.19,3.4
"pine",0,"m",55.62,3
"pine",0,"m",50.64,2.2
"pine",0,"m",55.34,2.8
"pine",0,"m",52.45,2.7
"hook",1,"m",58.73,3.5
"hook",1,"m",53.9,3
"yang",1,"f",48.8,2.5
"yang",1,"m",58.38,3.4
"channel",1,"f",46.58,2.1
"channel",1,"m",60.14,3.7
"channel",1,"m",58.49,3.6
"channel",1,"m",61.35,4.4
"channel",1,"m",57.32,3.6
"yin",1,"m",57.71,3
"yin",1,"m",57.91,2.9
"yin",1,"m",53.03,2.4
"yin",1,"f",48.58,2
"yin",1,"m",60.83,4.1
"yin",1,"f",48.58,2.3
"yin",1,"f",47.68,1.9
"pine",0,"m",57.99,3.2
"pine",0,"m",55.03,2.9
"pine",0,"m",49.23,1.9
"pine",0,"m",58.52,3.6
"pine",0,"m",55.08,2.7
"pine",0,"f",46.54,2.2
"pine",0,"m",58.98,4
"hornet",0,"m",55.45,3.3
"hornet",0,"m",57.88,3.5
"s.twin",0,"m",61.64,3.3
"s.twin",0,"m",54.31,2.7
"yin",1,"m",58.09,3.8
"lizard",1,"m",57.35,3
"lizard",1,"m",57.39,2.9
"crescent",0,"m",59.9,3.7
"crescent",0,"f",48.49,1.9
"hornet",0,"m",55.64,3.2
"s.twin",0,"f",48.08,2.3
"s.twin",0,"m",53.85,2.5
"s.twin",0,"m",58.53,3.2
"s.twin",0,"m",58.56,3.3
"s.twin",0,"m",54.61,3
"s.twin",0,"f",48.94,2.2
"hornet",0,"m",57.5,3.2
"hornet",0,"m",58.3,3.7
"hornet",0,"m",58.12,4.1
"hornet",0,"f",49.4,2.4
"hornet",0,"m",58.14,3.9
"hornet",0,"m",58.46,3.3
"lizard",1,"m",58.79,3.8
"lizard",1,"m",57.34,3
"lizard",1,"m",52.95,2.1
"lizard",1,"m",59.93,3.5
"lizard",1,"m",51.79,2.2
"s.twin",0,"m",55.04,3.1
"lizard",1,"m",56.79,2.9
"lizard",1,"m",54.89,2.8
"lizard",1,"m",53.17,2.4
"hornet",0,"m",55.57,3.2
"hornet",0,"f",52.39,2.8
"hornet",0,"m",56.15,3.4
"hornet",0,"m",55.15,2.8
"hornet",0,"m",57.41,3.7
"s.twin",0,"m",57.34,2.9
"osprey",0,"m",59.76,3.4
"osprey",0,"m",59.38,3.6
"osprey",0,"f",48.3,1.7
"osprey",0,"f",43.96,1.4
"osprey",0,"f",45.01,1.7
"s.twin",0,"m",59.63,3.6
"lizard",1,"m",52.5,3
"lizard",1,"f",46.21,1.8
"s.twin",0,"f",48.64,2.1
"s.twin",0,"m",57.51,3.3
"s.twin",0,"f",47.76,2.2
"s.twin",0,"m",51.56,2.1
"s.twin",0,"f",45.06,1.5
"s.twin",0,"f",49.58,2.2
"hornet",0,"f",48.94,2.3
"hornet",0,"f",50.24,2
"hornet",0,"f",49.34,2.1
"lizard",1,"f",48.27,1.8
"lizard",1,"f",45.28,1.9
"lizard",1,"f",46.71,1.9
"lizard",1,"f",50.17,2.3
"pine",0,"m",55.2,3.1
"pine",0,"m",54.21,2.6
"lizard",1,"f",46.24,1.9
"yin",1,"m",60.44,4.6
"lizard",1,"m",61.45,3.8
"lizard",1,"m",59.27,3.4
"lizard",1,"m",58.71,3.2
"lizard",1,"f",47.53,1.7
"lizard",1,"f",46.82,1.7
"crescent",0,"m",57.66,3.7
"lizard",1,"m",56.91,3
"lizard",1,"f",47.23,1.8
"lizard",1,"m",52.4,2
